draft_year,birthdate,draft_pick,stats_global_id,height,name,cbs_id,stats_id,cfbref_id,ktc_id,team,sleeper_id,db_season,merge_name,pfr_id,swish_id,draft_ovr,nfl_id,twitter_username,fleaflicker_id,fantasy_data_id,sportradar_id,draft_round,mfl_id,age,college,fantasypros_id,espn_id,gsis_id,rotowire_id,weight,rotoworld_id,position,yahoo_id,pff_id
2024.0,2001-11-18,1.0,0.0,73.0,Caleb Williams,26695775.0,40900.0,caleb-williams-3,1550.0,CHI,11560.0,2024,caleb williams,WillCa03,1286445.0,1.0,,,,,49d4b627-3f19-49a8-ae33-f539e0fb1f88,1.0,16579,23.1,USC,23084.0,4431611.0,00-0039918,17695.0,215.0,,QB,40900.0,
2024.0,2002-08-30,3.0,0.0,76.0,Drake Maye,26695757.0,40881.0,drake-maye-1,1551.0,NEP,11564.0,2024,drake maye,MayeDr00,1286803.0,3.0,,,,,d0c0630e-8925-4b81-a32b-e4146d95f01f,1.0,16580,22.4,North Carolina,23046.0,4431452.0,00-0039851,17673.0,225.0,,QB,40881.0,
2024.0,2000-12-18,2.0,0.0,76.0,Jayden Daniels,3123337.0,40896.0,jayden-daniels-1,1552.0,WAS,11566.0,2024,jayden daniels,DaniJa02,1161228.0,2.0,,,,,bab8c65a-9fff-410d-8e34-dc2f636d890e,1.0,16581,24.1,LSU,22902.0,4426348.0,00-0039910,17692.0,210.0,,QB,40896.0,
2024.0,2000-02-25,12.0,0.0,74.0,Bo Nix,3121193.0,40875.0,bo-nix-1,1553.0,DEN,11563.0,2024,bo nix,NixxBo00,1161899.0,12.0,,,,,f056c8ed-6ee5-492c-af11-3f7e3d97195c,1.0,16582,24.9,Oregon,22910.0,4426338.0,00-0039732,16995.0,217.0,,QB,40875.0,
2024.0,2000-05-08,8.0,0.0,74.0,Michael Penix Jr.,2963496.0,40889.0,michael-penix-jr-1,1554.0,ATL,11559.0,2024,michael penix,PeniMi00,1107478.0,8.0,,,,,6499a161-b221-4591-b122-d99ece1be64b,1.0,16583,24.7,Washington,22973.0,4360423.0,00-0039917,17700.0,220.0,,QB,40889.0,
2024.0,2003-01-20,10.0,0.0,75.0,J.J. McCarthy,26695214.0,40905.0,jj-mccarthy-1,1555.0,MIN,11565.0,2024,jj mccarthy,McCaJJ00,1287599.0,10.0,,,,,587cc3c3-aeda-4ac7-8803-a7e4db195534,1.0,16584,22.0,Michigan,23018.0,4433970.0,00-0039923,17689.0,219.0,,QB,40905.0,
2024.0,2000-03-06,17.0,0.0,77.0,Joe Milton,2962193.0,41060.0,joe-milton-2,1556.0,NEP,11557.0,2024,joe milton,MiltJo00,1112338.0,193.0,,,,,74043480-24ef-4c26-99d4-18f43d5b41d3,6.0,16585,24.8,Tennessee,25967.0,4360698.0,00-0039398,17830.0,246.0,,QB,41060.0,
2024.0,2000-09-28,15.0,0.0,72.0,Spencer Rattler,3125863.0,41043.0,spencer-rattler-1,1557.0,NOS,11562.0,2024,spencer rattler,RattSp00,1174752.0,150.0,,,,,e0eecf78-86b2-4ee8-8ac9-d7713a138765,5.0,16586,24.3,South Carolina,23081.0,4426339.0,00-0039376,17782.0,211.0,,QB,41043.0,
2024.0,1998-10-15,,0.0,77.0,Sam Hartman,,41238.0,,,FA,11376.0,2024,sam hartman,,1117351.0,,,,,,007971f0-f012-11ed-833c-ebfbb713adc7,,16587,26.2,Florida,,4361994.0,00-0039677,17664.0,306.0,,QB,,
2024.0,2001-09-30,25.0,0.0,74.0,Michael Pratt,3163083.0,41130.0,michael-pratt-1,,TBB,11561.0,2024,michael pratt,PratMi00,1214318.0,245.0,,,,,da5f9694-1b77-4f6e-acea-6fc76145f79a,7.0,16588,23.3,Tulane,25226.0,4685039.0,00-0039238,16996.0,217.0,,QB,41130.0,
